,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended
0,Couple Leisure,Business Class,Athens to London,September 2023,1,1,1,1,1,1,no
1,Business,Economy Class,Milan to San Jose via London,September 2023,3,3,2,4,1,1,no
2,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,September 2023,1,4,4,3,3,2,no
3,Business,Business Class,London to Seville,September 2023,2,1,1,3,1,1,no
4,Couple Leisure,Economy Class,London Heathrow to Tokyo,September 2023,1,1,1,3,2,1,no
5,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,August 2023,1,3,2,1,1,1,no
6,Business,Business Class,Prague to San Francisco via London,September 2023,1,3,3,3,1,1,no
7,Business,Economy Class,London to Glasgow,September 2023,1,1,1,1,1,1,no
8,Family Leisure,Economy Class,San Diego to Marseille via London ,August 2023,3,2,3,3,1,3,no
9,Business,Premium Economy,Hamburg to Las Vegas via London,August 2023,2,2,2,3,1,1,no
10,Family Leisure,Economy Class,London to Los Angeles,July 2023,2,3,3,3,2,1,no
11,Couple Leisure,Business Class,London Heathrow to Porto,September 2023,3,4,3,3,4,4,yes
12,Couple Leisure,Economy Class,London to Dalaman,September 2023,2,3,3,3,3,1,no
13,Solo Leisure,Economy Class,Johannesburg to Milan via London,September 2023,2,3,3,3,2,2,no
14,Business,Business Class,Madrid to Vancouver via London,April 2023,3,3,3,3,1,1,no
15,Couple Leisure,Business Class,London to Santiago,September 2023,3,5,4,3,2,5,yes
16,Couple Leisure,Business Class,London Heathrow to Faro,September 2023,2,3,3,3,1,1,no
17,Solo Leisure,Economy Class,Kuwait to Lisbon via London,September 2023,3,1,1,1,3,3,no
18,Couple Leisure,Economy Class,London to Munich,September 2023,1,3,1,1,1,1,no
19,Solo Leisure,Economy Class,Frankfurt to London City,September 2023,1,3,3,3,1,1,no
20,Couple Leisure,Business Class,London to Keflavik,August 2023,3,4,3,3,4,4,yes
21,Couple Leisure,Business Class,Mumbai to London,August 2023,4,3,3,3,4,4,yes
22,Business,Premium Economy,Houston to London Heathrow,September 2023,2,4,3,3,4,1,no
23,Solo Leisure,Business Class,London to Miami,September 2023,1,1,2,1,3,1,no
24,Couple Leisure,Economy Class,Los Angeles to London,August 2023,1,1,1,1,1,1,no
25,Couple Leisure,Economy Class,New York JFK to Malaga via London,June 2023,1,3,3,3,1,1,no
26,Couple Leisure,Premium Economy,Chicago to Rome via London,July 2023,3,1,1,1,1,1,no
27,Solo Leisure,Business Class,London to Malaga,August 2023,1,1,1,1,1,1,no
28,Solo Leisure,Economy Class,Frankfurt to London Heathrow,August 2023,1,1,3,3,1,1,no
29,Couple Leisure,Business Class,Tenerife to Gatwick,August 2023,1,3,1,3,1,1,no
30,Business,Business Class,London Heathrow to Malaga ,August 2023,2,2,2,3,1,2,no
31,Couple Leisure,Economy Class,Newark to London,June 2023,2,3,3,3,2,1,no
32,Business,Business Class,London to Johannesburg,August 2023,3,2,3,3,2,1,no
33,Couple Leisure,Business Class,LHR to LAX,August 2023,4,5,3,5,5,4,yes
34,Family Leisure,Economy Class,Delhi to Vancouver via London,December 2022,1,1,3,3,1,1,no
35,Solo Leisure,Economy Class,Copenhagen to London,June 2023,2,3,3,3,2,1,no
36,Solo Leisure,Business Class,Larnaca to London Heathrow,July 2023,3,3,1,3,3,1,yes
37,Family Leisure,Economy Class,Washington to London,August 2023,4,5,3,2,1,4,yes
38,Family Leisure,Business Class,London to Miami,August 2023,4,5,5,5,4,4,yes
39,Family Leisure,Economy Class,London to Paris,August 2023,1,1,3,3,1,1,no
40,Family Leisure,Economy Class,London to Algiers,August 2023,1,1,1,1,1,1,no
41,Couple Leisure,Economy Class,Edinburgh to London City,July 2023,4,4,3,3,5,5,yes
42,Solo Leisure,Economy Class,London to Vienna,August 2023,3,3,3,3,1,2,no
43,Business,Economy Class,San Francisco to Warsaw via London,July 2023,3,5,4,5,1,1,no
44,Business,Economy Class,Frankfurt to London City,August 2023,3,3,1,3,1,1,no
45,Solo Leisure,Economy Class,London to Lyon,August 2023,2,3,3,3,1,1,no
46,Solo Leisure,Business Class,London to Hong Kong,July 2023,5,5,5,5,5,5,yes
47,Couple Leisure,Economy Class,Gatwick to Montpelier,July 2023,3,3,1,3,1,1,no
48,Couple Leisure,Business Class,London to Mumbai,July 2023,4,5,5,3,4,4,yes
49,Couple Leisure,Business Class,Keflavik  to London,July 2023,3,5,4,3,2,3,yes
50,Solo Leisure,Economy Class,Gibraltar to London Heathrow,May 2023,1,1,3,3,1,1,no
51,Family Leisure,Business Class,Madrid to London,July 2023,1,1,3,3,1,1,no
52,Family Leisure,Economy Class,Rhodes to Gatwick,July 2023,2,3,1,1,1,2,no
53,Family Leisure,Economy Class,Barcelona to London,July 2023,1,4,1,1,1,1,no
54,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,November 2022,2,3,3,3,2,1,no
55,Couple Leisure,Economy Class,London City Airport to Frankfurt,July 2023,3,3,3,3,1,1,no
56,Business,Economy Class,Amsterdam to London City ,July 2023,3,4,3,3,1,2,no
57,Couple Leisure,Business Class,Dalaman to Gatwick ,June 2023,3,5,4,3,5,3,no
58,Solo Leisure,Economy Class,Seattle to London Heathrow,June 2023,2,2,1,3,3,3,no
59,Couple Leisure,Economy Class,Gatwick to Dalaman ,June 2023,1,1,1,3,1,1,no
60,Family Leisure,Business Class,London to Rhodes,July 2023,1,1,3,3,1,1,no
61,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,June 2023,4,5,4,3,4,4,yes
62,Solo Leisure,Business Class,London to Miami,June 2023,1,1,1,3,1,1,no
63,Solo Leisure,Economy Class,Amman to London,July 2023,3,1,1,1,4,3,no
64,Couple Leisure,Premium Economy,Chennai to London ,July 2023,3,2,1,1,4,1,no
65,Couple Leisure,Economy Class,Istanbul to London,July 2023,2,2,3,3,1,1,no
66,Solo Leisure,Economy Class,London to Edinburgh,November 2022,2,5,3,3,1,2,no
67,Family Leisure,Premium Economy,Kingston to London,June 2023,5,4,4,3,3,3,no
68,Couple Leisure,Economy Class,London Heathrow to Cape Town,June 2023,1,3,1,3,3,2,no
69,Couple Leisure,Economy Class,London Heathrow to Ibiza,July 2023,2,3,3,3,1,1,no
70,Business,Business Class,Washington to London,June 2023,3,3,3,3,1,1,no
